Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1661.8248171912571
FDW14,OUT017,1378.816178533605
NCN55,OUT010,574.5170284339256
FDQ58,OUT017,2463.4948228475237
FDY38,OUT027,5962.472113185417
FDH56,OUT046,1936.7331839370277
FDL48,OUT018,735.387984971245
FDC48,OUT027,2091.279459699117
FDN33,OUT045,1485.6247385572235
FDA36,OUT017,3179.2066519736914
FDT44,OUT017,1920.4560467398449
FDQ56,OUT045,1380.6107653970487
NCC54,OUT019,570.7263346375479
FDU11,OUT049,2057.5150690828045
DRL59,OUT013,814.2823297888336
FDM24,OUT049,2425.5793997002925
FDI57,OUT045,3099.111585024418
DRC12,OUT018,2932.165745218197
NCM42,OUT027,2938.320092761238
FDA46,OUT010,510.4986012667091
FDA31,OUT013,2854.505199230153
NCJ31,OUT035,3897.2180110215413
FDG52,OUT046,744.1651700667629
NCL19,OUT019,304.3707706869098
FDS10,OUT035,2919.9059574691114
FDX22,OUT010,571.4314126265149
NCF19,OUT035,738.1167930348951
NCE06,OUT046,2594.1612845801446
DRC27,OUT046,4022.017948838032
FDE21,OUT035,1941.5509680345049
NCR42,OUT019,130.29003053365062
FDX51,OUT018,3035.3857766575875
NCR06,OUT018,665.2324496671338
FDU31,OUT027,5963.147721262572
FDU59,OUT017,2604.045260982429
FDR03,OUT027,5899.3721294209945
FDS49,OUT027,2034.5829799810242
FDD48,OUT010,272.67314272635815
NCF18,OUT017,3050.303812326155
NCD43,OUT027,2825.1920805343025
NCD54,OUT018,2086.341545643807
FDY19,OUT010,272.82138454374945
NCY54,OUT017,2852.282943001657
NCL19,OUT018,2437.617612756442
FDP23,OUT010,576.682267897316
FDC26,OUT013,1747.2628399854636
FDR14,OUT010,130.52180412952262
NCS41,OUT035,3152.9647251461474
FDF41,OUT035,3958.0397441920504
FDU34,OUT046,2082.7089034758046
DRH11,OUT046,868.9199777832342
FDM03,OUT013,1657.9804483245896
FDS31,OUT017,2999.035941522286
FDJ20,OUT017,2047.9858359686198
FDV44,OUT027,5116.921206194047
FDG02,OUT049,3206.719778040773
FDA09,OUT013,3050.06061696352
FDT04,OUT013,681.2424769384693
FDL58,OUT019,570.9150352083049
FDE52,OUT045,1394.543112728095
FDW12,OUT035,2437.127552069857
FDL51,OUT017,3503.3459162360186
NCY42,OUT027,3129.4933927947845
FDR07,OUT017,1530.8741813116005
FDN40,OUT045,2428.4432017234935
FDB35,OUT027,2555.255790710968
FDA22,OUT017,2615.406738915292
NCL06,OUT046,4132.689827817493
FDI35,OUT013,3000.694970500184
NCW42,OUT045,3612.441274359708
NCX06,OUT049,3020.5876621226303
FDC37,OUT027,2880.550651137238
FDZ14,OUT018,1996.8397919612005
DRG49,OUT049,4032.1222716017496
NCG06,OUT045,4054.1702108357435
DRC36,OUT045,2881.974495562586
FDV21,OUT019,295.3133448501551
FDB53,OUT046,2467.5964627544117
DRP47,OUT019,570.6633241837892
FDA14,OUT013,2441.1815175598235
DRC24,OUT035,2501.4505677826946
FDW21,OUT018,1609.1446463758825
NCH29,OUT046,1552.3210021818304
FDU58,OUT013,3119.571687630883
FDY27,OUT017,2912.7469605424967
FDV56,OUT035,1676.189776938554
FDT59,OUT046,3867.3178575689753
FDB23,OUT046,3800.265707866326
FDR49,OUT045,741.8411679471564
FDB03,OUT010,573.8551026927452
FDN39,OUT045,2756.904300699234
FDX02,OUT027,5963.147721262572
FDQ16,OUT027,2880.550651137238
FDU35,OUT018,1591.7940087450481
NCT29,OUT013,2064.093746991084
FDZ27,OUT046,748.1118315543572
FDN57,OUT017,2059.9105090992434
FDA03,OUT018,2408.2521540945295
FDZ36,OUT045,3158.5908665073975
NCU05,OUT013,1428.6615598430772
FDT39,OUT018,2399.5897599459613
FDK60,OUT017,1535.515621994888
FDZ25,OUT017,2822.5581089931175
FDG12,OUT046,2097.5073581812594
DRB01,OUT019,503.78677496846956
NCC43,OUT027,5962.472113185417
FDX13,OUT019,575.0626515400978
FDM22,OUT049,830.2391666540632
FDJ03,OUT027,1240.6951315028605
FDU14,OUT018,3775.1394927646247
FDB33,OUT010,392.5032044626976
FDP27,OUT046,3168.6912872176904
FDO38,OUT010,158.46539472442544
FDE28,OUT027,5962.472113185417
FDO27,OUT035,1483.478295405576
DRL23,OUT027,2875.472507826953
FDS28,OUT046,872.1250228411784
FDX24,OUT013,1472.876478126629
FDZ02,OUT035,1523.1523248463295
FDL46,OUT045,1917.6283275948333
FDS60,OUT027,4808.888112105142
NCO06,OUT017,589.77973373443
FDO16,OUT035,1368.7796860789695
FDC60,OUT049,1383.4371066526974
FDA48,OUT018,3264.619520963483
FDZ36,OUT027,5116.921206194047
FDK27,OUT045,2061.4684439561797
FDW23,OUT018,625.3108489285459
FDM14,OUT018,1695.884670995368
FDM14,OUT013,1667.1464022852838
FDW60,OUT018,2922.2316579866783
FDE21,OUT013,1961.5172408577503
NCM42,OUT035,1680.3555100768444
FDY59,OUT010,226.78602814553696
DRI49,OUT049,1302.1920293733026
FDT28,OUT019,360.4017655396135
FDQ22,OUT018,631.8941146202118
FDR60,OUT049,1225.7309529918646
FDC50,OUT019,234.5080763147251
FDV24,OUT013,2395.175634235362
DRF48,OUT010,499.51525502941314
FDQ47,OUT046,601.2888805367842
DRN36,OUT049,1544.69381541701
NCY06,OUT035,2055.776663858739
FDE52,OUT035,1393.0830561714058
NCB54,OUT045,2045.0518313112627
NCF31,OUT035,2455.506796176437
FDJ08,OUT027,5119.9459511793775
NCC07,OUT017,1655.4577358754907
NCD19,OUT027,1372.5619124915431
FDL46,OUT049,2005.2072644381872
FDM20,OUT045,4050.48609567813
NCI06,OUT010,461.360758273521
DRM11,OUT035,4194.984123345612
NCH07,OUT018,2541.6701994242308
FDS23,OUT013,2078.1179088046997
FDO49,OUT018,737.54747962326
FDS35,OUT049,1022.1303931812577
DRK39,OUT045,1333.2301644682977
DRI39,OUT049,871.3013618954677
FDV04,OUT017,2527.3678156832084
NCN14,OUT035,3067.396329008951
FDH08,OUT013,3893.7067928542824
FDS20,OUT046,3188.7308854293706
FDV40,OUT049,1129.5144013605282
FDZ48,OUT010,254.68762714387933
FDS24,OUT027,2460.8350730978186
FDK44,OUT049,2833.7187397840953
FDS48,OUT045,2477.3111126531344
FDK26,OUT010,501.89047685818764
FDD23,OUT045,3139.9597140128517
NCH54,OUT017,2618.3072969224904
NCP14,OUT010,241.25949551112
FDM60,OUT010,130.29003053365062
FDV24,OUT017,2413.573421432466
FDH08,OUT018,3592.6486814031273
FDS12,OUT027,3110.8166377841117
FDR39,OUT027,4861.204940711932
FDP12,OUT027,1222.9313528525565
DRF60,OUT027,5964.287054024417
FDC09,OUT035,1647.2814585596116
FDF50,OUT018,3049.110403620033
FDG28,OUT035,4038.3918745971787
NCE19,OUT017,856.241350302074
NCM53,OUT010,255.3337889855312
NCN18,OUT049,1742.9686473335687
